1/19/26,Purchase Price,Live Date,Website,Niche,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,Count
Expired - Odys,"$1,200.00",Jan 2022 or earlier,decoratoradvice.com,Home,$110.00,$420.00,"$2,490.00","$2,595.43","$3,215.00","$5,325.00","$3,690.00","$4,261.50","$4,055.00","$3,108.00","$2,423.00","$1,746.00","$1,112.00","$1,063.59","$1,225.00",$630.00,$840.00,$517.00,"$1,035.50","$1,830.40","$2,951.60","$2,630.00","$2,141.00","$1,436.00","$3,085.00","$3,561.00","$3,972.50","$6,432.00","$6,448.10","$9,047.70","$11,540.88","$7,488.16","$5,908.50","$6,885.00","$6,527.00","$7,498.00","$7,254.00","$6,497.60","$7,672.00","$8,983.00","$8,530.37","$7,771.34","$8,957.00","$4,800.02","$3,693.92","$9,086.00","$7,892.00","$5,924.00","$1,589.00",,,,,,,,,,,,"$217,895.11",49
Bought - Darko,"$3,300.00",21/8/2023,wealthybyte.com,"Finance, General, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$677.00,"$3,389.00","$3,428.00","$3,664.10","$5,030.00","$4,540.00","$3,935.00","$7,913.50","$10,898.90","$10,171.00","$13,323.38","$12,486.75","$8,525.50","$7,140.50","$11,156.07","$9,741.11","$13,455.50","$11,468.00",x,"$13,308.69","$9,114.50","$8,138.86","$6,692.00","$5,417.00","$3,937.00","$6,533.80","$5,674.00","$4,311.00","$1,553.00",,,,,,,,,,,,"$205,623.16",28
Bought - Mohit,"$15,000.00",Jan 2022 or earlier,whatutalkingboutwillis.com,"Mom Blog, General","$2,965.00","$1,825.00","$4,202.00","$2,393.00","$2,480.00","$4,497.66","$2,789.00","$4,190.00","$3,441.00","$2,718.00","$3,848.00","$5,730.00","$4,555.00","$5,316.34","$8,507.00","$4,676.00","$5,226.95","$4,751.50","$5,300.50","$5,312.00","$5,146.00","$4,790.00","$8,911.50","$6,263.00","$6,348.50","$6,183.50","$3,759.00","$2,973.00","$4,222.10","$3,979.50","$4,575.88","$2,179.50","$3,203.50","$3,684.94","$2,861.00","$1,624.00","$3,808.00","$2,876.50","$3,932.00","$3,250.00","$3,750.00","$3,395.00","$2,088.00","$2,673.00","$3,744.00","$6,477.00","$3,179.00","$4,554.75",$960.00,,,,,,,,,,,,"$200,116.12",49
Expired - Odys,-,Jan 2022 or earlier,feedbuzzard.com,"Gaming, Tech",$70.00,$370.00,$716.50,"$1,137.00",$953.00,"$2,216.46","$2,685.00","$2,485.00","$2,151.00","$1,966.00","$1,753.00","$2,310.00","$1,810.00",$493.00,$870.00,$250.00,$390.00,$673.00,"$1,792.50","$4,333.40","$1,539.60","$2,172.00",$900.00,$979.00,"$2,660.00","$2,257.00","$1,258.00","$1,865.00","$3,221.60","$4,826.30","$7,364.38","$2,935.69","$3,141.00","$2,708.00","$2,416.00","$2,685.50","$6,674.00","$5,570.50","$6,683.50","$6,797.00","$5,445.00","$7,601.50","$8,624.00","$6,983.00","$6,898.85","$9,111.50","$8,412.00","$11,242.98","$1,525.00",,,,,,,,,,,,"$163,922.76",49
Expired - Odys,$750.00,May 2022 or earlier,disquantified.org,"General, Business",-,-,$15.00,$35.00,$313.00,$485.00,$555.00,$260.00,$157.00,$441.00,$136.00,$180.00,$235.00,$361.00,$990.00,$250.00,$780.00,$625.50,"$1,025.50","$1,203.60","$1,037.40","$2,045.50","$2,173.00","$3,385.00","$4,979.00","$4,222.00","$4,730.50","$6,281.50","$9,259.80","$6,777.50","$10,057.38","$5,800.00","$6,511.00","$5,434.09","$4,934.90","$5,768.00","$7,289.14","$6,092.66","$6,550.72","$6,071.80","$4,873.00","$3,313.00","$2,998.50","$4,578.00","$2,854.00","$6,076.23","$5,268.50","$4,372.50","$1,380.00",,,,,,,,,,,,"$153,162.22",47
Expired - Odys,$360.00,April 2022 or earlier,playmyworld.com,"Gaming, Tech",-,-,-,$60.00,$671.00,"$1,250.00","$1,658.00",$940.00,"$1,470.00","$2,929.00","$1,584.00","$1,535.00","$2,360.00","$1,658.00","$3,363.00",$802.50,$570.00,$934.00,$735.50,"$1,683.40",$854.20,$500.00,"$1,774.00",$402.00,"$1,941.50",$776.00,$788.00,"$3,601.00","$8,841.00","$2,956.00","$2,917.00","$2,179.00","$4,001.00","$5,726.50","$5,656.50","$6,033.00","$6,524.50","$5,614.50","$7,560.00","$5,456.00","$3,300.00","$3,136.25","$6,470.00","$4,612.50","$4,277.50","$5,220.00","$5,075.00","$6,133.44","$2,130.00",,,,,,,,,,,,"$138,659.79",46
Expired - Odys,$590.00,June 2022 or earlier,thegamearchives.com,"Gaming, Tech",-,-,-,-,-,$95.00,"$1,133.38",$795.00,"$1,195.00",$737.33,$334.50,$430.00,$960.00,"$1,505.75","$1,906.00",$830.50,$606.00,"$1,740.00","$1,590.50","$2,860.30","$1,676.20","$2,079.00","$6,891.00","$4,472.00","$4,237.93","$7,525.00","$8,314.00","$4,999.50","$5,168.70","$4,340.50","$4,187.00","$3,498.50","$3,118.50","$1,565.00","$1,468.00","$2,107.00","$4,146.50","$6,030.00","$6,956.00","$5,456.00","$5,880.00","$1,199.25","$2,279.00","$2,225.00","$2,839.00","$4,488.00","$3,260.50","$3,563.00",$820.00,,,,,,,,,,,,"$131,509.34",44
Expired - Odys,$490.00,April 2022 or earlier,theportablegamer.com,"Gaming, Tech",-,-,-,$120.00,"$1,256.00","$1,350.00","$1,947.00","$1,095.00",$417.00,"$1,784.00",$882.00,"$1,990.00","$2,125.00","$1,725.00","$1,695.00",$655.00,$690.00,$925.00,$735.00,"$2,045.00","$4,727.07","$4,622.00","$8,252.00","$8,844.82","$7,480.50","$6,629.50","$5,867.00","$3,245.00","$1,882.10","$2,047.39","$2,531.00","$2,241.00","$1,120.50","$1,479.00",$720.87,$995.50,"$2,524.00","$3,038.00","$2,599.50","$4,554.50","$2,972.00","$2,903.00","$3,706.79","$3,517.00","$4,690.00","$4,780.00","$3,365.00","$5,538.00","$1,953.00",,,,,,,,,,,,"$130,262.04",46
Expired - Odys,$340.00,Feb 2022 or earlier,fintechasia.net,"Finance, Tech",-,$40.00,$405.00,"$1,487.00","$5,695.73","$4,180.00","$2,785.00","$4,292.00","$4,118.00","$2,754.00","$2,600.00","$1,155.25","$1,317.50",$686.00,"$2,360.00","$1,321.25","$1,920.13",$713.00,$931.00,"$1,299.20","$1,768.80","$2,828.00","$2,488.00","$4,764.00","$1,294.00","$1,020.00","$1,407.00",$170.00,"$1,059.30","$2,933.00","$3,982.38","$3,032.00","$2,693.50","$3,480.50","$2,933.48","$2,713.00","$5,391.50","$5,222.00","$4,999.00","$3,950.00","$3,135.24","$3,316.00","$2,669.00","$2,611.00","$4,192.50","$4,825.00","$3,405.00","$3,406.98",$545.00,,,,,,,,,,,,"$126,295.24",48
Expired - Vaibhav,$12.00,5/1/2022,thehometrotters.com,Home,-,-,-,-,$75.00,$310.00,$25.00,$60.00,$295.00,$185.00,$110.00,$668.50,$278.75,$105.75,$135.00,$140.00,$300.00,$120.00,$877.00,$445.00,$309.40,$749.00,"$1,147.00",$655.00,$603.00,$967.00,"$2,665.00","$5,800.00","$6,696.80","$4,188.40","$5,879.38","$6,991.25","$6,752.00","$4,839.00","$4,130.28","$4,674.26","$4,483.25","$5,754.25","$4,931.75","$5,712.25","$8,080.89","$5,781.25","$4,624.25","$5,083.25","$3,174.00","$5,675.50","$4,249.00","$6,520.25","$1,735.50",,,,,,,,,,,,"$126,982.16",45
