1/19/26,Purchase Price,Live Date,Website,Niche,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,Count
Expired - Vaibhav,$12.00,June 2022 or earlier,programgeeks.net,"Crypto, Tech, Social",-,-,-,-,-,$55.00,$40.00,$60.00,$130.00,$96.00,$70.00,$0.00,$200.00,$149.00,$160.00,$0.00,$0.00,$0.00,$55.00,$80.00,$251.00,$35.00,$0.00,$80.00,$308.00,$233.00,$176.00,$230.00,$371.20,"$1,094.20",$934.00,"$1,325.50","$1,874.00","$1,826.00",$935.50,"$1,189.00","$1,795.00","$2,279.82","$1,752.00","$1,241.00","$2,006.00","$1,122.00","$1,325.50",$889.00,"$1,294.00","$1,621.00","$1,236.50","$2,339.50","$1,146.00",,,,,,,,,,,,"$32,004.72",44
Expired - Odys,$330.00,6/1/2022,thelowdownunder.com,"Pop Culture, Travel, News",-,-,-,-,-,$170.00,$60.00,$178.00,$385.00,$113.00,$160.00,$114.00,$165.00,$170.00,$250.00,$115.00,$115.00,$101.50,$377.00,$528.50,$304.70,$325.00,$442.00,$835.00,"$1,587.50","$2,342.00","$1,753.50","$2,007.00","$1,552.00","$1,561.50","$1,790.00",$140.00,$395.00,$123.00,$341.00,$478.00,$983.50,"$1,680.00","$1,736.50","$2,124.00",$715.00,$462.00,$346.00,$187.00,$342.00,$162.00,$279.00,$559.00,$0.00,,,,,,,,,,,,"$28,555.20",44
Expired - Vaibhav,$12.00,26/4/2024,21strongfoundation.org,Finance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$693.40,"$1,076.90","$1,269.00","$1,549.00","$2,004.00","$3,146.00","$1,383.00","$1,878.09","$2,093.00","$2,607.50","$1,222.00","$1,270.00","$1,455.00",$870.00,"$1,124.00",$717.00,$851.00,"$1,586.50","$1,285.00","$1,749.50",$839.00,,,,,,,,,,,,"$30,668.89",21
Expired - Vaibhav,$12.00,May 2022 or earlier,sentback.org,"Gaming, Tech",-,-,-,-,$130.00,$225.00,$173.00,$175.00,$75.00,$50.00,$510.00,$120.00,$170.00,$823.00,$358.00,$155.00,$127.61,$40.00,$217.00,$253.00,$278.60,$60.00,$541.00,$180.00,$88.00,$0.00,$149.00,$714.00,$483.60,$745.20,$925.00,$882.00,$656.00,"$1,599.00","$1,212.00",$868.00,"$2,064.00","$1,177.32","$1,680.50","$2,005.00","$1,784.00","$1,693.00","$1,061.50","$1,331.50",$525.00,$720.00,$146.50,$731.00,$350.00,,,,,,,,,,,,"$28,252.33",45
Expired - Vaibhav,$12.00,4/5/2024,oneframework.net,Tech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$87.00,"$1,096.30",$530.50,"$1,738.00","$1,061.50","$1,960.00","$1,809.00","$1,302.00",$762.00,"$2,148.21","$2,771.00","$2,097.00","$1,615.00","$1,395.00",$883.75,"$1,584.00",$642.00,"$1,359.57",$818.00,$917.00,"$1,355.50",$547.00,,,,,,,,,,,,"$28,479.33",22
Expired - Vaibhav,$12.00,20/3/2024,bitnation-blog.com,"Crypto, Trading",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$555.00,"$1,630.00","$1,941.90","$1,417.00","$2,125.50",$861.00,$971.50,"$1,067.99","$1,278.00","$1,329.00","$1,946.50","$1,624.50","$1,029.50","$1,121.00",$823.87,"$1,280.17","$1,334.00",$792.00,"$1,952.00","$2,208.40","$3,092.75",$661.00,,,,,,,,,,,,"$31,042.58",22
Expired - Vaibhav,$12.00,21/2/2023,geekgadget.net,"Gaming, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,$140.00,$560.00,$120.00,$0.00,$69.00,$83.00,$90.00,$200.00,$954.00,$490.00,$175.50,$170.00,$340.00,$786.00,"$1,392.00","$1,478.00","$1,176.00","$1,677.88","$1,270.51","$1,117.50","$1,562.00","$3,070.50","$1,697.25","$2,107.00",$855.70,$952.75,$543.13,$210.00,$260.00,$335.00,$522.00,$453.00,$333.00,$867.00,$641.00,$460.00,,,,,,,,,,,,"$27,158.72",36
Expired - Vaibhav,$12.00,16/5/2024,timeshealthmag.com,"Fitness, Nutrition, Wellness",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$72.50,"$1,030.00","$1,111.00","$1,723.00","$2,004.50","$1,539.00",$483.70,$878.50,$519.00,$972.75,"$1,452.00","$1,314.50","$2,329.50","$1,459.50","$1,480.50","$1,604.50","$2,174.00","$1,774.00","$2,230.00","$2,494.00",$833.50,,,,,,,,,,,,"$29,479.95",21
Expired - Vaibhav,$12.00,July 2022 or earlier,emberslasvegas.com,Casino,-,-,-,-,-,-,$30.00,$50.00,$25.00,$88.75,$120.00,$216.00,$40.00,$72.00,$115.00,$0.00,$40.00,$40.00,$160.00,$120.00,$79.80,$151.00,$213.00,$85.00,$109.00,$199.00,$52.00,$122.00,$601.80,$602.40,$911.50,"$1,697.00","$1,167.00","$1,452.00","$1,143.50",$391.00,"$1,137.00","$1,284.32","$1,751.00","$1,346.00","$1,491.75","$1,243.75","$1,583.75","$1,444.35",$894.97,"$2,125.75","$1,169.50","$3,145.50",$873.50,,,,,,,,,,,,"$29,584.89",43
Expired - Vaibhav,$12.00,20/3/2023,homerocketrealty.com,Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$60.00,$162.00,$94.00,$240.00,$280.00,$75.00,$95.00,$187.00,$30.00,$120.00,"$4,705.00",$72.00,$519.00,$861.00,$804.00,$435.00,$399.00,$262.00,$398.00,"$1,415.50","$1,085.00","$2,234.00","$2,033.00","$2,253.25","$1,191.50","$1,277.75","$1,246.00",$661.50,"$1,122.50","$1,283.75","$2,060.75","$1,051.75",,,,,,,,,,,,"$28,744.25",34
Purchased Domain,$10.00,19/4/2024,bigboxratio.com,Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$150.00,$820.00,$830.00,$790.00,$700.00,$555.00,$0.00,$688.50,$620.00,$888.00,"$1,225.00","$2,083.00","$1,715.00","$1,437.00","$2,439.00","$1,379.34","$1,087.00","$2,963.00","$3,257.50","$1,857.50","$3,243.00",$475.50,,,,,,,,,,,,"$29,203.34",22
Expired - Vaibhav,$12.00,July 2022 or earlier,bettingbase.net,Sports,-,-,-,-,-,-,$150.00,$40.00,$205.00,"$1,260.00",$600.00,$181.66,$350.00,$362.00,$265.50,$222.93,$107.45,$56.00,$158.00,$298.50,$329.40,$470.00,$78.00,$136.00,$173.00,$224.00,$465.00,$326.00,$489.00,"$1,026.00",$958.00,$960.00,"$1,366.00","$1,967.50","$1,329.00","$1,091.50","$1,037.85",$560.00,$919.00,$388.00,"$1,609.00","$1,080.00",$192.00,$885.00,"$1,275.00",$339.50,$886.00,$385.00,$294.00,,,,,,,,,,,,"$25,495.79",43
Purchased Domain,$10.00,19/4/2024,accordshort.com,"Business, Finance",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$771.80,"$1,562.00","$2,280.38","$2,313.00","$2,831.00","$1,158.27","$1,194.00","$1,416.76","$2,278.26","$1,573.00","$1,742.53","$1,208.75","$1,227.50",$350.00,$670.50,$543.00,$770.00,$284.50,$401.50,$643.50,$145.00,,,,,,,,,,,,"$25,365.25",21
Expired - Vaibhav,$12.00,19/4/2024,severedbytes.net,"Gaming, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$65.00,$387.50,$490.25,"$1,360.13","$1,522.00","$1,937.50","$2,341.00",$806.00,$509.25,"$1,395.50","$1,596.00","$1,674.00","$1,800.00","$2,032.62",$590.00,"$2,314.00",$722.00,$880.50,"$1,533.00",$625.00,"$1,374.00",$566.00,,,,,,,,,,,,"$26,521.25",22
Expired - Vaibhav,$12.00,19/4/2024,somethingnewnow.net,"Business, Finance",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$698.00,$735.00,$868.00,$423.00,$390.00,$104.50,$147.50,$80.00,$916.00,$912.00,"$2,034.00","$1,775.00","$1,759.00","$2,932.75","$2,110.00","$2,210.50","$2,696.00","$2,172.00","$1,743.50","$2,554.00",$936.50,,,,,,,,,,,,"$28,197.25",21
Expired - Vaibhav,$12.00,26/3/2024,latesthealthtricks.com,Health,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$856.00,"$2,101.38","$2,074.00","$2,027.25","$2,060.00","$1,631.50","$1,334.75",$728.10,"$1,080.50","$1,226.50","$1,396.50","$1,350.50",$428.50,"$1,055.00",$795.50,$670.75,$547.00,$560.00,$870.00,"$1,175.00","$1,147.50",$371.00,,,,,,,,,,,,"$25,487.23",22
Expired - Vaibhav,$12.00,4/5/2024,liveamoment.org,"Family, Parenting",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$250.00,$980.00,$675.50,$980.50,$537.50,"$2,179.50","$2,314.00","$1,909.00","$1,612.50","$1,596.00","$1,323.50",$963.56,"$1,034.00","$1,463.50",$829.00,$527.00,$764.50,"$1,288.00","$1,082.50","$1,092.00","$1,560.00",$520.00,,,,,,,,,,,,"$25,482.06",22
Expired - Vaibhav,$12.00,Oct 2022 or earlier,mywirelesscoupons.com,"Gaming, Tech",-,-,-,-,-,-,-,-,-,$45.00,$155.00,$0.00,$45.00,$0.00,$110.00,$267.50,$402.50,$104.00,$192.50,$75.00,$206.50,$50.00,$75.00,$0.00,$42.00,$75.00,$491.00,$885.50,$377.80,"$1,119.15",$585.00,$702.00,$637.50,$608.00,$812.00,$320.97,"$1,737.50","$1,819.16","$1,602.42","$1,075.00","$1,502.00","$2,341.00",$924.00,$918.00,$910.00,"$1,584.00",$494.50,"$1,343.00",$729.00,,,,,,,,,,,,"$25,363.50",40
Expired - Odys,$540.00,Oct 2022 or earlier,socceragency.net,Sports,-,-,-,-,-,-,-,-,-,$40.00,$0.00,$0.00,$170.00,$182.00,$180.00,$0.00,$80.00,$0.00,$109.00,$274.00,$79.40,$50.00,$0.00,$0.00,$47.00,$245.00,$420.00,$269.00,"$1,338.85",$926.40,$772.00,$535.00,$298.00,$402.00,$620.00,$885.00,"$1,968.00","$2,073.25","$2,292.86","$1,519.00","$2,000.00",$773.00,$553.00,$420.00,$859.00,"$1,628.50",$603.00,$470.00,$255.00,,,,,,,,,,,,"$23,337.26",40
Expired - Vaibhav,$12.00,19/4/2024,unfgaming.net,"Gaming, Esports",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$209.50,$32.00,$330.00,$446.00,$431.00,$538.50,$637.00,$566.00,"$1,068.75","$1,241.82","$1,914.03","$1,486.00","$1,898.75","$1,503.00","$4,096.50","$1,573.00","$1,607.25","$1,718.00","$1,419.00","$1,271.00",$775.00,,,,,,,,,,,,"$24,762.10",21
Expired - Vaibhav,$12.00,19/4/2024,songoftruth.org,Parenting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$50.00,$210.00,$160.00,"$1,353.00","$2,139.00","$2,112.00","$1,682.00","$1,759.50","$1,651.00",$975.00,"$1,054.00","$1,094.84","$1,362.50","$1,286.50","$1,030.00","$1,005.00",$330.00,$799.00,"$1,265.00","$1,132.00","$1,606.00",$494.50,,,,,,,,,,,,"$24,550.84",22
Expired - Vaibhav,$12.00,June 2022 or earlier,bouncemediagroup.com,General,-,-,-,-,-,$70.00,$80.00,$50.00,$75.00,$0.00,$115.00,$135.00,$115.00,$75.00,$160.00,$115.00,$35.00,$0.00,$90.50,$35.00,$267.30,$190.00,$100.00,$0.00,$36.00,$32.00,$321.00,$80.00,$224.75,$464.60,$447.00,$286.00,$297.00,$179.00,$229.50,$233.50,$935.00,"$1,473.82","$1,279.00","$2,425.21","$1,268.50","$1,447.93","$1,756.50","$1,302.50","$1,913.00","$2,260.00","$3,041.25","$2,287.00","$1,534.00",,,,,,,,,,,,"$27,461.86",44
Expired - Odys,$540.00,30/3/2024,lapwinglabs.com,Tech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$55.00,$318.50,$509.75,$838.75,$790.80,$724.00,"$1,855.50",$890.00,"$1,158.00","$2,280.25","$1,216.50","$1,699.75",$655.00,$921.25,"$1,465.00","$1,763.75",$921.50,"$1,323.00","$1,760.75","$1,129.75","$1,870.75",$532.25,,,,,,,,,,,,"$24,679.80",22
Expired - Vaibhav,$12.00,June 2022 or earlier,topicsolutions.net,"Gaming, Tech",-,-,-,-,-,$200.00,$206.00,$235.00,$765.00,$175.00,$100.00,$135.46,$150.00,$75.00,$75.00,$0.00,$0.00,$0.00,$0.00,$225.00,$63.00,$0.00,$0.00,$42.00,$201.00,$288.75,$0.00,$80.00,$29.70,$185.00,$490.13,$829.00,$789.50,"$1,356.00","$1,927.25",$368.50,"$1,322.00",$776.50,"$1,490.75","$1,411.25","$1,245.00",$879.25,$877.50,"$1,195.75","$1,221.50","$1,395.50","$1,687.75","$1,375.00",$600.50,,,,,,,,,,,,"$24,469.54",44
Expired - Vaibhav,$12.00,Sept 2022 or earlier,techoelite.com,"Gaming, Tech",-,-,-,-,-,-,-,-,$285.00,$205.00,$45.00,$0.00,$45.00,$20.00,$160.00,$0.00,$0.00,$65.00,$105.50,$125.00,$54.80,$45.00,$36.00,$127.00,$91.00,$273.00,$103.50,$116.00,$72.00,$55.00,$296.50,$356.00,$259.00,$863.00,$750.50,$482.50,"$1,287.50",$991.50,"$1,589.75","$1,919.00","$1,547.75","$1,387.75","$1,014.50","$1,175.00","$2,827.00","$1,669.00","$2,126.00","$3,684.00","$1,624.00",,,,,,,,,,,,"$27,879.05",41
Expired - Vaibhav,$12.00,Sept 2022 or earlier,seattlesportsonline.com,Sports,-,-,-,-,-,-,-,-,$60.00,$180.00,$135.00,$85.00,$70.00,$171.46,$50.00,$40.00,$240.00,$0.00,$69.00,$138.00,$29.40,$0.00,$30.00,$50.00,$77.00,$133.00,$289.00,$117.00,$159.00,$50.00,$85.00,$244.00,$276.00,$218.00,$284.00,$336.00,"$1,097.50","$1,991.90","$1,823.50","$1,756.50","$1,590.00","$1,296.00","$1,532.75","$1,851.00","$1,741.00","$2,196.50","$1,236.00","$1,710.00","$1,632.50",,,,,,,,,,,,"$25,071.01",41
Bought - Darko,"$1,100.00",29/6/2023,logicalshout.com,Tech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$105.00,$128.75,$243.50,$0.00,$48.75,$50.00,$136.00,$36.00,$353.50,$210.00,$260.40,$357.00,$554.75,$793.00,$450.50,"$1,067.00",$747.75,$993.50,"$1,082.25","$1,673.50","$1,749.00","$1,879.00","$2,011.50","$1,101.50","$1,463.00",$889.00,"$1,099.00","$1,056.00",$848.00,"$2,182.00",$621.00,,,,,,,,,,,,"$24,190.15",31
Bought - Darko,"$3,500.00",27/6/2023,emergewomanmagazine.com,Women's Magazine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$245.00,"$2,036.00","$1,813.00","$1,089.00","$1,554.00","$2,953.50","$5,922.75","$2,524.00","$2,168.00",$375.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,"$20,680.25",31
Expired - Vaibhav,$12.00,June 2022 or earlier,javaobjects.net,"Tech, Social Media",-,-,-,-,-,$130.00,$140.00,$70.00,$225.00,$246.00,$635.00,$50.00,$335.00,$509.00,$535.00,$510.00,$0.00,$605.00,"$1,288.50",$408.00,$29.40,$620.00,$712.50,$215.00,$414.00,$210.00,$308.00,$448.00,$867.00,$989.60,"$1,721.38","$1,522.00",$962.00,"$1,000.50",$560.00,$260.00,"$1,339.00",$420.00,"$1,386.00",$548.00,$10.00,$0.00,$0.00,$0.00,$75.00,$0.00,$0.00,$63.00,$0.00,,,,,,,,,,,,"$20,366.88",44
Expired - Vaibhav,$12.00,19/4/2024,myinternetaccess.net,"Cybersecurity, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"$1,486.00",$822.00,"$1,486.00",$917.00,$395.00,$744.00,$999.50,$916.50,"$1,690.50","$1,262.46","$1,853.01","$1,227.08","$1,393.31",$759.00,"$1,022.00","$1,138.00",$676.00,$550.00,"$1,364.00","$1,127.00",$306.00,,,,,,,,,,,,"$22,134.36",21
Bought - Darko,"$2,000.00",Feb 2022 or earlier,clearskinstudy.com,"Skincare, Beauty",-,$10.00,$0.00,$10.00,$55.00,$10.00,$0.00,$20.00,$0.00,$0.00,$67.00,$12.00,$36.00,$23.00,$15.00,$70.00,$40.00,$30.00,$128.00,$24.00,$240.00,$40.00,$50.00,$85.00,$68.00,$35.00,$120.00,$183.00,$865.00,$899.00,"$1,032.50",$944.00,"$1,072.00","$1,043.75","$1,211.45","$1,142.00",$433.00,$890.00,$942.50,"$1,749.00",$894.00,"$2,207.00",$532.00,$577.00,"$1,118.00","$1,020.00","$1,150.00","$1,756.00","$1,348.00",,,,,,,,,,,,"$24,197.20",48
Expired - Vaibhav,$12.00,June 2022 or earlier,crypticstreet.com,Tech,-,-,-,-,-,$50.00,$0.00,$167.00,$40.00,$40.00,$70.00,$0.00,$180.00,$0.00,$45.00,$0.00,$0.00,$35.00,$495.00,$0.00,$74.40,$0.00,$0.00,$25.00,$78.00,$70.00,$0.00,$39.00,$339.10,$486.20,"$1,269.00","$1,684.00","$2,770.50","$1,309.00",$906.25,"$2,085.00","$1,373.25","$1,564.25","$1,187.51",$752.50,$475.00,$537.75,$316.00,$232.00,$369.50,$433.50,$243.00,"$1,473.00",$475.50,,,,,,,,,,,,"$21,690.21",44
Expired - Vaibhav,$12.00,4/3/2024,interworldradio.net,"Science, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$527.00,"$1,390.00",$714.00,$831.00,"$1,329.00","$1,362.00","$1,847.00","$1,481.00","$1,027.50",$876.00,$243.00,$316.00,$311.00,$582.50,$730.00,$800.50,$872.00,"$1,537.00","$1,883.00","$1,981.00","$2,566.00",$498.00,,,,,,,,,,,,"$23,704.50",22
Expired - Vaibhav,$12.00,May 2022 or earlier,fameblogs.net,"General, Celebrity",-,-,-,-,$153.00,$140.00,$50.00,$254.50,$250.00,$89.50,$100.00,$69.50,$140.00,$40.00,$200.00,$25.00,$50.00,$272.00,$177.00,$60.00,$73.20,$42.00,$228.00,$0.00,$39.00,$140.00,$179.00,$344.00,$314.00,$314.20,"$1,104.38",$397.00,$219.00,$355.99,$531.50,$522.00,"$1,139.00","$1,974.50","$1,658.00","$1,168.00","$1,678.50",$504.00,$485.00,"$1,183.50",$941.00,"$1,241.00","$1,170.00","$2,151.00",$422.00,,,,,,,,,,,,"$22,589.27",45
Purchased Domain,$10.00,19/4/2024,exposmall.com,"AI, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$175.00,"$1,109.10","$1,224.20",$700.00,"$2,052.00",$795.00,"$1,101.50",$220.00,$346.00,$394.00,"$1,023.50",$809.00,$395.00,$110.50,"$1,420.00","$1,136.00",$729.00,"$2,647.00","$1,714.50","$1,755.50","$2,002.50",$375.00,,,,,,,,,,,,"$22,234.30",22
Expired - Vaibhav,$12.00,May 2022 or earlier,abithelp.com,Tech,-,-,-,-,$110.00,$460.00,$162.00,$225.00,$100.00,$135.00,$140.00,$50.00,$155.00,$69.00,$765.00,$273.00,$70.00,$0.00,$286.50,$237.00,$149.40,$370.00,$18.00,$0.00,$78.00,$0.00,$39.00,$318.00,$590.00,$379.10,$148.38,$313.00,$235.00,$485.50,$100.00,$714.00,$975.75,"$1,185.00","$1,177.50","$1,537.00",$726.00,"$1,115.90",$540.00,$555.00,"$1,142.50","$1,353.50","$1,910.00","$2,041.00",$388.00,,,,,,,,,,,,"$21,822.03",45
Expired - Vaibhav,$12.00,1/1/2023,bageltechnews.com,"Gaming,Tech",-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$205.00,$70.00,$0.00,$0.00,$0.00,$55.00,$0.00,$21.00,$25.00,$30.00,-,$68.00,-,$65.00,$118.00,$73.20,$343.60,$295.38,$259.00,$421.00,$401.00,$695.00,$866.00,"$1,392.75","$1,018.29","$1,451.00","$1,810.54","$1,673.00","$2,298.46",$983.00,$810.00,$779.07,"$1,669.00","$1,627.50","$2,028.00","$1,147.00",,,,,,,,,,,,"$22,728.79",35
Expired - Vaibhav,$12.00,July 2022 or earlier,eurotechtalk.com,Tech,-,-,-,-,-,-,$30.00,$25.00,$45.00,$140.00,$122.50,$140.00,$85.00,$262.00,$236.85,$195.00,$21.00,$64.00,$181.00,$104.50,$21.00,$70.00,$114.00,$125.00,$91.00,$208.75,$503.00,$104.00,$238.25,$706.40,"$1,362.75","$1,678.25","$1,754.68",$669.50,$875.15,$481.93,$847.50,"$1,205.25","$1,397.75","$1,192.50","$1,014.00",$331.00,$594.84,$404.00,$350.00,$290.00,$343.50,$321.00,$79.75,,,,,,,,,,,,"$19,026.60",43
Expired - Vaibhav,$12.00,Oct 2022 or earlier,thesportshouse.net,Sports,-,-,-,-,-,-,-,-,-,$730.00,"$1,042.19",$825.00,$140.00,$70.00,$481.71,$250.00,$35.00,$121.93,$139.00,$268.00,$409.40,$469.00,$807.00,$448.00,"$1,319.00",$565.00,"$1,308.00",$249.00,$0.00,$165.00,$110.00,$280.00,$162.00,$241.00,$568.50,$320.00,$405.00,$626.00,$843.00,$805.00,$832.00,"$1,244.00",$403.50,$431.00,$517.00,$777.00,$366.00,$689.50,$347.00,,,,,,,,,,,,"$19,809.73",40
Expired - Vaibhav,$12.00,Feb 2022 or earlier,cowded.com,"Gaming, Tech",-,$500.00,$625.00,$795.00,$755.00,$865.00,$250.00,$545.00,$563.00,$558.34,$240.00,$315.00,$30.00,$0.00,$0.00,$0.00,$35.00,$50.00,$63.00,$63.00,$154.40,$138.00,$268.00,$260.00,$99.00,$325.00,$250.00,$167.50,$180.20,$224.00,$510.50,$393.00,$276.50,$526.50,$390.00,$410.00,$0.00,$222.00,$346.00,$480.00,"$1,123.00","$1,445.50","$1,317.00","$1,499.00",$923.00,$133.00,$0.00,$173.00,$0.00,,,,,,,,,,,,"$18,486.44",48
Expired - Vaibhav,$12.00,26/4/2024,thinksano.com,"Fitness, Health",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$172.50,$748.75,"$1,012.50",$596.50,$454.00,$490.50,$334.25,$432.50,"$1,114.25","$2,362.00","$1,957.00","$1,044.00",$916.89,"$1,781.00",$590.00,"$1,206.00",$935.00,$811.00,"$1,549.00",$951.00,$366.00,,,,,,,,,,,,"$19,824.64",21
Expired - Vaibhav,$12.00,30/3/2024,lotsofpower.net,"Tech, Fitness",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$220.00,"$1,201.00","$1,565.00","$1,091.38",$954.00,"$1,280.00","$1,062.50",$185.00,$741.00,"$1,222.50","$1,088.00",$929.00,"$1,073.50",$957.50,$591.00,$748.00,$334.50,$833.50,"$1,077.00","$1,165.00","$1,740.00","$1,061.00",,,,,,,,,,,,"$21,120.38",22
Expired - Vaibhav,$12.00,June 2022 or earlier,durostech.com,Tech,-,-,-,-,-,$25.00,$0.00,$0.00,$285.00,$275.00,$50.00,$70.00,$50.00,$50.00,$37.64,$0.00,$0.00,$0.00,$65.00,$127.00,$94.60,$80.50,$230.00,$116.00,$162.00,$155.00,$72.00,$155.00,$142.50,$107.50,$142.00,$531.00,$612.00,$646.00,$600.00,$693.50,"$1,224.50","$1,396.00","$2,027.50","$1,780.50","$1,848.00","$1,068.50",$958.14,$744.50,$488.50,$270.00,$716.50,$365.00,$316.00,,,,,,,,,,,,"$18,777.88",44
Expired - Vaibhav,$12.00,19/4/2024,freeworlder.org,Travel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"$1,110.00",$540.00,$526.00,"$1,482.00","$1,319.00","$2,130.28",$974.00,"$1,327.50","$1,100.00",$600.00,"$1,267.48","$1,276.50","$1,027.00",$778.00,$224.00,$512.00,$350.00,$664.00,$340.00,$643.00,$185.00,,,,,,,,,,,,"$18,375.76",21
Bought - Auction,"$20,250.00",5/27/2025,costofwar.com,"Gaming, Tech",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$28.00,$530.00,$210.00,$464.00,$245.00,$314.00,$200.00,$300.00,$0.00,,,,,,,,,,,,"$2,291.00",9
Expired - Vaibhav,$12.00,June 2022 or earlier,silktest.org,"Gaming, Tech",-,-,-,-,-,$170.00,$40.00,$85.00,$94.00,$0.00,$0.00,$108.25,$73.00,$77.50,$378.00,$35.00,$30.00,$0.00,$94.00,$55.00,$173.10,$15.00,$0.00,$0.00,$62.00,$290.00,$25.00,$81.00,$237.90,$165.00,$422.38,$295.75,$289.00,$369.75,$299.75,$317.50,$519.50,$698.00,"$1,017.50","$1,525.00","$1,859.50","$1,146.50","$1,099.00",$790.00,"$1,700.50","$1,952.75","$1,216.50","$1,308.50",$694.00,,,,,,,,,,,,"$19,810.13",44
Expired - Odys,$350.00,15/5/2023,theweeklyspoon.com,"Food, Health, General",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$807.00,$297.00,$309.00,$241.00,$462.00,$310.00,$236.00,$844.50,$205.00,$251.50,$106.00,$30.00,$176.00,$0.00,$340.00,$238.50,$449.25,$455.00,$581.00,"$1,330.50","$1,401.75","$1,612.25","$1,490.50","$1,800.00","$2,056.00","$1,420.50","$1,180.50",$630.00,,,,,,,,,,,,"$19,260.75",28
Bought - Darko,"$1,700.00",10/2/2023,travellingapples.com,Travel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$80.00,$280.00,$200.00,$105.00,$444.00,$505.00,$130.00,$210.00,$503.45,$414.50,$849.50,$731.43,$635.00,"$1,474.50",$300.00,$519.71,$846.00,$639.00,$986.50,"$1,264.50","$1,204.50","$1,829.78",$544.94,$622.50,$889.00,$504.00,$294.50,$300.00,$468.00,,,,,,,,,,,,"$17,775.31",29
